,price,unit_price,xiaoqu,huxing,mianji,chaoxiang,zhuangxiu,dianti,house_type,area
0,565,单价60753元/平米,鞍山路310弄  , 2室2厅 , 93平米 , 南 , 简装 , 无电梯,中楼层(共7层)1997年建板楼  ,  鞍山
1,980,单价62628元/平米,信和花园  , 4室2厅 , 156.48平米 , 南 , 精装 , 有电梯,中楼层(共8层)1995年建板楼  ,  碧云
2,508,单价12126元/平米,绿地香颂(奉贤)(别墅)  , 6室2厅 , 418.96平米 , 南 , 简装 , 无电梯,低楼层(共2层)2011年建板楼  ,  海湾
3,1220,单价87025元/平米,达安花园  , 3室2厅 , 140.19平米 , 南 , 精装 , 有电梯,低楼层(共16层)2003年建板楼  ,  曹家渡
4,1120,单价79739元/平米,新湖明珠城  , 3室2厅 , 140.46平米 , 南 , 精装 , 有电梯,中楼层(共29层)板楼  ,  武宁
5,800,单价84105元/平米,新华公寓  , 2室2厅 , 95.12平米 , 南 , 精装 , 有电梯,中楼层(共15层)1999年建板楼  ,  新华路
6,920,单价92296元/平米,新城海上名园  , 2室2厅 , 99.68平米 , 南 , 精装 , 有电梯,低楼层(共14层)2007年建板楼  ,  洋泾
7,780,单价71600元/平米,南方城  , 2室2厅 , 108.94平米 , 南 , 精装 , 有电梯,中楼层(共14层)2004年建板楼  ,  古美
8,1040,单价93257元/平米,第五大道  , 2室2厅 , 111.52平米 , 南 北 , 精装 , 有电梯,高楼层(共16层)2003年建板楼  ,  洋泾
9,1400,单价96373元/平米,上海绿城  , 3室2厅 , 145.27平米 , 南 , 精装 , 有电梯,高楼层(共25层)2004年建板楼  ,  杨东
10,2050,单价109363元/平米,仁恒滨江园  , 4室2厅 , 187.45平米 , 南 北 , 精装 , 有电梯,中楼层(共17层)2003年建板楼  ,  陆家嘴
11,738,单价72574元/平米,信和花园  , 2室2厅 , 101.69平米 , 东北 , 精装 , 有电梯,中楼层(共8层)1995年建板楼  ,  碧云
12,515,单价48608元/平米,九城湖滨国际  , 3室2厅 , 105.95平米 , 南 , 精装 , 有电梯,中楼层(共14层)2007年建板楼  ,  九亭
13,1430,单价93882元/平米,仁恒滨江园  , 3室2厅 , 152.32平米 , 西南 , 精装 , 有电梯,低楼层(共9层)1999年建板楼  ,  陆家嘴
14,750,单价89617元/平米,大华锦绣华城(十四街区)  , 2室2厅 , 83.69平米 , 南 , 精装 , 有电梯,中楼层(共17层)2011年建板楼  ,  北蔡
15,5020,单价162919元/平米,中粮海景壹号  , 4室2厅 , 308.13平米 , 东 西 , 精装 , 有电梯,低楼层(共40层)板楼  ,  陆家嘴
16,810,单价70564元/平米,风度国际  , 2室2厅 , 114.79平米 , 南 , 精装 , 有电梯,低楼层(共12层)2005年建板楼  ,  金汇
17,740,单价66291元/平米,中远两湾城  , 2室2厅 , 111.63平米 , 南 , 精装 , 有电梯,高楼层(共34层)2005年建板楼  ,  中远两湾城
18,475,单价46942元/平米,阳光威尼斯(一期)  , 2室2厅 , 101.19平米 , 南 , 精装 , 有电梯,低楼层(共26层)2004年建板楼  ,  真光
19,508,单价52610元/平米,阳光威尼斯(三期)  , 2室2厅 , 96.56平米 , 南 北 , 简装 , 有电梯,高楼层(共26层)2006年建板楼  ,  真光
20,260,单价32709元/平米,新凯一期  , 2室1厅 , 79.49平米 , 南 , 简装 , 无电梯,低楼层(共6层)2006年建板楼  ,  泗泾
21,438,单价67385元/平米,三佳花苑  , 2室1厅 , 65平米 , 南 , 毛坯 , 无电梯,中楼层(共6层)1994年建板楼  ,  七宝
22,635,单价69758元/平米,春申景城湖畔林语  , 2室2厅 , 91.03平米 , 南 , 精装 , 有电梯,低楼层(共17层)2007年建板楼  ,  春申
